input_text,target_text
translate question to dbpedia path: How many movies did Stanley Kubrick direct? | Entities possibly involved: dbr:Stanley_Kubrick,COUNT >> [ANS] >> dbo:director >> dbr:Stanley_Kubrick
translate question to dbpedia path: Which city's foundeer is John Forbes? | Entities possibly involved: dbr:John_Forbes_(British_Army_officer),[ANS] >> dbo:founder >> dbr:John_Forbes_(British_Army_officer) [SEP] [ANS] >> rdf:type >> dbo:City
translate question to dbpedia path: What is the river whose mouth is in deadsea? | Entities possibly involved: dbr:Dead_Sea,[ANS] >> dbo:riverMouth >> dbr:Dead_Sea [SEP] [ANS] >> rdf:type >> dbo:River
translate question to dbpedia path: What is the allegiance of John Kotelawala ? | Entities possibly involved: dbr:John_Kotelawala,dbr:John_Kotelawala >> dbp:allegiance >> [ANS]
translate question to dbpedia path: How many races have the horses bred by Jacques Van't Hart participated in? | Entities possibly involved: dbr:Jacques_Van't_Hart,COUNT >> [VAR1] >> dbo:breeder >> dbr:Jacques_Van't_Hart [SEP] [VAR1] >> dbp:race >> [ANS]
"translate question to dbpedia path: What is the incumbent of the Al Gore presidential campaign, 2000 and also the president of the Ann Lewis ? | Entities possibly involved: dbr:Al_Gore_presidential_campaign,_2000, dbr:Ann_Lewis","dbr:Al_Gore_presidential_campaign,_2000 >> dbo:incumbent >> [ANS] [SEP] dbr:Ann_Lewis >> dbo:president >> [ANS]"
translate question to dbpedia path: What is the region of Tom Perriello ? | Entities possibly involved: dbr:Tom_Perriello,dbr:Tom_Perriello >> dbo:region >> [ANS]
translate question to dbpedia path: What layout can be found in cars similar to the Subaru Outback? | Entities possibly involved: dbr:Subaru_Outback,[VAR1] >> dbo:layout >> [ANS] [SEP] [VAR1] >> dbp:related >> dbr:Subaru_Outback [SEP] [VAR1] >> rdf:type >> dbo:Automobile
translate question to dbpedia path: Starwood operates in which places? | Entities possibly involved: dbr:Starwood_Hotels_and_Resorts_Worldwide,[VAR1] >> dbp:address >> [ANS] [SEP] [VAR1] >> dbp:operator >> dbr:Starwood_Hotels_and_Resorts_Worldwide
translate question to dbpedia path: Name the mascot of Austin College ? | Entities possibly involved: dbr:Austin_College,dbr:Austin_College >> dbp:mascot >> [ANS]
translate question to dbpedia path: What was the university of the rugby player who coached the Stanford rugby teams during 1906-1917? | Entities possibly involved: dbr:1906–17_Stanford_rugby_teams,[VAR1] >> dbo:university >> [ANS] [SEP] dbr:1906–17_Stanford_rugby_teams >> dbp:headcoach >> [VAR1]
"translate question to dbpedia path: How many people live in Wilton, Connecticut? | Entities possibly involved: dbr:Wilton,_Connecticut","COUNT >> [ANS] >> dbp:residence >> dbr:Wilton,_Connecticut"
translate question to dbpedia path: What awards did the film director of The Haunted House win ? | Entities possibly involved: dbr:The_Haunted_House_(1929_film),[VAR1] >> dbo:award >> [ANS] [SEP] dbr:The_Haunted_House_(1929_film) >> dbo:director >> [VAR1]
translate question to dbpedia path: Name the origin of Henry Cluney ? | Entities possibly involved: dbr:Henry_Cluney,dbr:Henry_Cluney >> dbp:origin >> [ANS]
translate question to dbpedia path: List the things for which people of New Orleans are famous for? | Entities possibly involved: dbr:New_Orleans,[VAR1] >> dbp:knownFor >> [ANS] [SEP] [VAR1] >> dbp:placeOfBirth >> dbr:New_Orleans [SEP] [VAR1] >> rdf:type >> dbo:Person
translate question to dbpedia path: What sports are played in schools in the capital region? | Entities possibly involved: dbr:Capital_region,[VAR1] >> dbo:sport >> [ANS] [SEP] [VAR1] >> dbp:region >> dbr:Capital_region [SEP] [VAR1] >> rdf:type >> dbo:School
"translate question to dbpedia path: What company brought Riddim Ribbon to the market, and developed the batch monitor? | Entities possibly involved: dbr:Riddim_Ribbon_feat._The_Black_Eyed_Peas, dbr:Batch_Monitor",dbr:Batch_Monitor >> dbp:developer >> [ANS] [SEP] dbr:Riddim_Ribbon_feat._The_Black_Eyed_Peas >> dbp:distributor >> [ANS]
"translate question to dbpedia path: In which part of the world can i find Xynisteri and Mavro? | Entities possibly involved: dbr:Xynisteri, dbr:Mavro",dbr:Mavro >> dbo:origin >> [ANS] [SEP] dbr:Xynisteri >> dbo:origin >> [ANS]
translate question to dbpedia path: which awards have been given to people who fought in the Battle of France? | Entities possibly involved: dbr:Battle_of_France,[VAR1] >> dbo:award >> [ANS] [SEP] [VAR1] >> dbo:battle >> dbr:Battle_of_France [SEP] [VAR1] >> rdf:type >> dbo:Person
translate question to dbpedia path: Name the resting place of Charles Edward Magoon ? | Entities possibly involved: dbr:Charles_Edward_Magoon,dbr:Charles_Edward_Magoon >> dbp:restingplace >> [ANS]
translate question to dbpedia path: Who built the stadium which was rented for the 2013 Copa Centroamericana ? | Entities possibly involved: dbr:2013_Copa_Centroamericana,[VAR1] >> dbo:builder >> [ANS] [SEP] [VAR1] >> dbo:tenant >> dbr:2013_Copa_Centroamericana [SEP] [VAR1] >> rdf:type >> dbo:Stadium
translate question to dbpedia path: Who was the silver medalist of Gymnastics at the 2008 Summer Olympics  Women's artistic individual all-around ? | Entities possibly involved: dbr:Gymnastics_at_the_2008_Summer_Olympics_–_Women's_artistic_individual_all-around,dbr:Gymnastics_at_the_2008_Summer_Olympics_–_Women's_artistic_individual_all-around >> dbo:silverMedalist >> [ANS]
translate question to dbpedia path: what are some common surnames of female people? | Entities possibly involved: dbr:Female,[ANS] >> dbp:gender >> dbr:Female
