input_text,target_text
translate question to dbpedia path: Question: How many movies did Stanley Kubrick direct? | Entities possibly involved: dbr:Stanley_Kubrick,COUNT >> [ANS] >> dbo:director >> dbr:Stanley_Kubrick
translate question to dbpedia path: Question: Which city's foundeer is John Forbes? | Entities possibly involved: dbr:John_Forbes_(British_Army_officer),[ANS] >> dbo:founder >> dbr:John_Forbes_(British_Army_officer) [SEP] [ANS] >> rdf:type >> dbo:City
translate question to dbpedia path: Question: What is the river whose mouth is in deadsea? | Entities possibly involved: dbr:Dead_Sea,[ANS] >> dbo:riverMouth >> dbr:Dead_Sea [SEP] [ANS] >> rdf:type >> dbo:River
translate question to dbpedia path: Question: What is the allegiance of John Kotelawala ? | Entities possibly involved: dbr:John_Kotelawala,dbr:John_Kotelawala >> dbp:allegiance >> [ANS]
translate question to dbpedia path: Question: How many races have the horses bred by Jacques Van't Hart participated in? | Entities possibly involved: dbr:Jacques_Van't_Hart,COUNT >> [VAR1] >> dbo:breeder >> dbr:Jacques_Van't_Hart [SEP] [VAR1] >> dbp:race >> [ANS]
translate question to dbpedia path: Question: What layout can be found in cars similar to the Subaru Outback? | Entities possibly involved: dbr:Subaru_Outback,[VAR1] >> dbo:layout >> [ANS] [SEP] [VAR1] >> dbp:related >> dbr:Subaru_Outback [SEP] [VAR1] >> rdf:type >> dbo:Automobile
translate question to dbpedia path: Question: Name the mascot of Austin College ? | Entities possibly involved: dbr:Austin_College,dbr:Austin_College >> dbp:mascot >> [ANS]
"translate question to dbpedia path: Question: How many people live in Wilton, Connecticut? | Entities possibly involved: dbr:Wilton,_Connecticut","COUNT >> [ANS] >> dbp:residence >> dbr:Wilton,_Connecticut"
translate question to dbpedia path: Question: What awards did the film director of The Haunted House win ? | Entities possibly involved: dbr:The_Haunted_House_(1929_film),[VAR1] >> dbo:award >> [ANS] [SEP] dbr:The_Haunted_House_(1929_film) >> dbo:director >> [VAR1]
translate question to dbpedia path: Question: Name the origin of Henry Cluney ? | Entities possibly involved: dbr:Henry_Cluney,dbr:Henry_Cluney >> dbp:origin >> [ANS]
"translate question to dbpedia path: Question: In which part of the world can i find Xynisteri and Mavro? | Entities possibly involved: dbr:Mavro, dbr:Xynisteri",dbr:Mavro >> dbo:origin >> [ANS] [SEP] dbr:Xynisteri >> dbo:origin >> [ANS]
translate question to dbpedia path: Question: which awards have been given to people who fought in the Battle of France? | Entities possibly involved: dbr:Battle_of_France,[VAR1] >> dbo:award >> [ANS] [SEP] [VAR1] >> dbo:battle >> dbr:Battle_of_France [SEP] [VAR1] >> rdf:type >> dbo:Person
translate question to dbpedia path: Question: Name the resting place of Charles Edward Magoon ? | Entities possibly involved: dbr:Charles_Edward_Magoon,dbr:Charles_Edward_Magoon >> dbp:restingplace >> [ANS]
translate question to dbpedia path: Question: Who was the silver medalist of Gymnastics at the 2008 Summer Olympics  Women's artistic individual all-around ? | Entities possibly involved: dbr:Gymnastics_at_the_2008_Summer_Olympics_–_Women's_artistic_individual_all-around,dbr:Gymnastics_at_the_2008_Summer_Olympics_–_Women's_artistic_individual_all-around >> dbo:silverMedalist >> [ANS]
translate question to dbpedia path: Question: what are some common surnames of female people? | Entities possibly involved: dbr:Female,[ANS] >> dbp:gender >> dbr:Female
