input_text,target_text
translate question to dbpedia path | Entities possibly involved: dbr:Stanley_Kubrick | Question: How many movies did Stanley Kubrick direct?,COUNT >> [ANS] >> dbo:director >> dbr:Stanley_Kubrick
translate question to dbpedia path | Entities possibly involved: dbr:John_Forbes_(British_Army_officer) | Question: Which city's foundeer is John Forbes?,[ANS] >> dbo:founder >> dbr:John_Forbes_(British_Army_officer) [SEP] [ANS] >> rdf:type >> dbo:City
translate question to dbpedia path | Entities possibly involved: dbr:Dead_Sea | Question: What is the river whose mouth is in deadsea?,[ANS] >> dbo:riverMouth >> dbr:Dead_Sea [SEP] [ANS] >> rdf:type >> dbo:River
translate question to dbpedia path | Entities possibly involved: dbr:John_Kotelawala | Question: What is the allegiance of John Kotelawala ?,dbr:John_Kotelawala >> dbp:allegiance >> [ANS]
translate question to dbpedia path | Entities possibly involved: dbr:Jacques_Van't_Hart | Question: How many races have the horses bred by Jacques Van't Hart participated in?,COUNT >> [VAR1] >> dbo:breeder >> dbr:Jacques_Van't_Hart [SEP] [VAR1] >> dbp:race >> [ANS]
"translate question to dbpedia path | Entities possibly involved: dbr:Ann_Lewis, dbr:Al_Gore_presidential_campaign,_2000 | Question: What is the incumbent of the Al Gore presidential campaign, 2000 and also the president of the Ann Lewis ?","dbr:Al_Gore_presidential_campaign,_2000 >> dbo:incumbent >> [ANS] [SEP] dbr:Ann_Lewis >> dbo:president >> [ANS]"
translate question to dbpedia path | Entities possibly involved: dbr:Tom_Perriello | Question: What is the region of Tom Perriello ?,dbr:Tom_Perriello >> dbo:region >> [ANS]
translate question to dbpedia path | Entities possibly involved: dbr:Subaru_Outback | Question: What layout can be found in cars similar to the Subaru Outback?,[VAR1] >> dbo:layout >> [ANS] [SEP] [VAR1] >> dbp:related >> dbr:Subaru_Outback [SEP] [VAR1] >> rdf:type >> dbo:Automobile
translate question to dbpedia path | Entities possibly involved: dbr:Starwood_Hotels_and_Resorts_Worldwide | Question: Starwood operates in which places?,[VAR1] >> dbp:address >> [ANS] [SEP] [VAR1] >> dbp:operator >> dbr:Starwood_Hotels_and_Resorts_Worldwide
translate question to dbpedia path | Entities possibly involved: dbr:Austin_College | Question: Name the mascot of Austin College ?,dbr:Austin_College >> dbp:mascot >> [ANS]
translate question to dbpedia path | Entities possibly involved: dbr:1906–17_Stanford_rugby_teams | Question: What was the university of the rugby player who coached the Stanford rugby teams during 1906-1917?,[VAR1] >> dbo:university >> [ANS] [SEP] dbr:1906–17_Stanford_rugby_teams >> dbp:headcoach >> [VAR1]
"translate question to dbpedia path | Entities possibly involved: dbr:Wilton,_Connecticut | Question: How many people live in Wilton, Connecticut?","COUNT >> [ANS] >> dbp:residence >> dbr:Wilton,_Connecticut"
translate question to dbpedia path | Entities possibly involved: dbr:The_Haunted_House_(1929_film) | Question: What awards did the film director of The Haunted House win ?,[VAR1] >> dbo:award >> [ANS] [SEP] dbr:The_Haunted_House_(1929_film) >> dbo:director >> [VAR1]
translate question to dbpedia path | Entities possibly involved: dbr:Henry_Cluney | Question: Name the origin of Henry Cluney ?,dbr:Henry_Cluney >> dbp:origin >> [ANS]
translate question to dbpedia path | Entities possibly involved: dbr:New_Orleans | Question: List the things for which people of New Orleans are famous for?,[VAR1] >> dbp:knownFor >> [ANS] [SEP] [VAR1] >> dbp:placeOfBirth >> dbr:New_Orleans [SEP] [VAR1] >> rdf:type >> dbo:Person
translate question to dbpedia path | Entities possibly involved: dbr:Capital_region | Question: What sports are played in schools in the capital region?,[VAR1] >> dbo:sport >> [ANS] [SEP] [VAR1] >> dbp:region >> dbr:Capital_region [SEP] [VAR1] >> rdf:type >> dbo:School
"translate question to dbpedia path | Entities possibly involved: dbr:Riddim_Ribbon_feat._The_Black_Eyed_Peas, dbr:Batch_Monitor | Question: What company brought Riddim Ribbon to the market, and developed the batch monitor?",dbr:Batch_Monitor >> dbp:developer >> [ANS] [SEP] dbr:Riddim_Ribbon_feat._The_Black_Eyed_Peas >> dbp:distributor >> [ANS]
"translate question to dbpedia path | Entities possibly involved: dbr:Mavro, dbr:Xynisteri | Question: In which part of the world can i find Xynisteri and Mavro?",dbr:Mavro >> dbo:origin >> [ANS] [SEP] dbr:Xynisteri >> dbo:origin >> [ANS]
translate question to dbpedia path | Entities possibly involved: dbr:Battle_of_France | Question: which awards have been given to people who fought in the Battle of France?,[VAR1] >> dbo:award >> [ANS] [SEP] [VAR1] >> dbo:battle >> dbr:Battle_of_France [SEP] [VAR1] >> rdf:type >> dbo:Person
translate question to dbpedia path | Entities possibly involved: dbr:Charles_Edward_Magoon | Question: Name the resting place of Charles Edward Magoon ?,dbr:Charles_Edward_Magoon >> dbp:restingplace >> [ANS]
translate question to dbpedia path | Entities possibly involved: dbr:2013_Copa_Centroamericana | Question: Who built the stadium which was rented for the 2013 Copa Centroamericana ?,[VAR1] >> dbo:builder >> [ANS] [SEP] [VAR1] >> dbo:tenant >> dbr:2013_Copa_Centroamericana [SEP] [VAR1] >> rdf:type >> dbo:Stadium
translate question to dbpedia path | Entities possibly involved: dbr:Gymnastics_at_the_2008_Summer_Olympics_–_Women's_artistic_individual_all-around | Question: Who was the silver medalist of Gymnastics at the 2008 Summer Olympics  Women's artistic individual all-around ?,dbr:Gymnastics_at_the_2008_Summer_Olympics_–_Women's_artistic_individual_all-around >> dbo:silverMedalist >> [ANS]
translate question to dbpedia path | Entities possibly involved: dbr:Female | Question: what are some common surnames of female people?,[ANS] >> dbp:gender >> dbr:Female
translate question to dbpedia path | Entities possibly involved: dbr:Edsel_Ranger | Question: Which company owns the manufacturer of the Edsel Ranger?,[VAR1] >> dbp:parent >> [ANS] [SEP] [VAR1] >> dbp:products >> dbr:Edsel_Ranger
translate question to dbpedia path | Entities possibly involved: dbr:Creative_Commons | Question: List the total number of board members who share board with Creative commons ?,COUNT >> [VAR1] >> dbo:board >> [ANS] [SEP] [VAR1] >> dbo:board >> dbr:Creative_Commons
"translate question to dbpedia path | Entities possibly involved: dbr:United_States_House_of_Representatives_elections,_1788_and_1789 | Question: Who is the leader of United States House of Representatives elections, 1788 and 1789 ?","dbr:United_States_House_of_Representatives_elections,_1788_and_1789 >> dbp:leader >> [ANS]"
"translate question to dbpedia path | Entities possibly involved: dbr:The_Notebook_of_Trigorin, dbr:The_Fugitive_Kind | Question: The fugitive Kind and the Notebook of Trigorin is written by what author?",dbr:The_Fugitive_Kind >> dbp:writer >> [ANS] [SEP] dbr:The_Notebook_of_Trigorin >> dbo:author >> [ANS]
