input_text,target_text
translate question to dbpedia path: Entities possibly involved: dbr:Stanley_Kubrick | Question: How many movies did Stanley Kubrick direct?,COUNT >> [ANS] >> dbo:director >> dbr:Stanley_Kubrick
translate question to dbpedia path: Entities possibly involved: dbr:John_Forbes_(British_Army_officer) | Question: Which city's foundeer is John Forbes?,[ANS] >> dbo:founder >> dbr:John_Forbes_(British_Army_officer) [SEP] [ANS] >> rdf:type >> dbo:City
translate question to dbpedia path: Entities possibly involved: dbr:Dead_Sea | Question: What is the river whose mouth is in deadsea?,[ANS] >> dbo:riverMouth >> dbr:Dead_Sea [SEP] [ANS] >> rdf:type >> dbo:River
translate question to dbpedia path: Entities possibly involved: dbr:John_Kotelawala | Question: What is the allegiance of John Kotelawala ?,dbr:John_Kotelawala >> dbp:allegiance >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Jacques_Van't_Hart | Question: How many races have the horses bred by Jacques Van't Hart participated in?,COUNT >> [VAR1] >> dbo:breeder >> dbr:Jacques_Van't_Hart [SEP] [VAR1] >> dbp:race >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Subaru_Outback | Question: What layout can be found in cars similar to the Subaru Outback?,[VAR1] >> dbo:layout >> [ANS] [SEP] [VAR1] >> dbp:related >> dbr:Subaru_Outback [SEP] [VAR1] >> rdf:type >> dbo:Automobile
translate question to dbpedia path: Entities possibly involved: dbr:Austin_College | Question: Name the mascot of Austin College ?,dbr:Austin_College >> dbp:mascot >> [ANS]
"translate question to dbpedia path: Entities possibly involved: dbr:Wilton,_Connecticut | Question: How many people live in Wilton, Connecticut?","COUNT >> [ANS] >> dbp:residence >> dbr:Wilton,_Connecticut"
translate question to dbpedia path: Entities possibly involved: dbr:The_Haunted_House_(1929_film) | Question: What awards did the film director of The Haunted House win ?,[VAR1] >> dbo:award >> [ANS] [SEP] dbr:The_Haunted_House_(1929_film) >> dbo:director >> [VAR1]
translate question to dbpedia path: Entities possibly involved: dbr:Henry_Cluney | Question: Name the origin of Henry Cluney ?,dbr:Henry_Cluney >> dbp:origin >> [ANS]
"translate question to dbpedia path: Entities possibly involved: dbr:Xynisteri, dbr:Mavro | Question: In which part of the world can i find Xynisteri and Mavro?",dbr:Mavro >> dbo:origin >> [ANS] [SEP] dbr:Xynisteri >> dbo:origin >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Battle_of_France | Question: which awards have been given to people who fought in the Battle of France?,[VAR1] >> dbo:award >> [ANS] [SEP] [VAR1] >> dbo:battle >> dbr:Battle_of_France [SEP] [VAR1] >> rdf:type >> dbo:Person
translate question to dbpedia path: Entities possibly involved: dbr:Charles_Edward_Magoon | Question: Name the resting place of Charles Edward Magoon ?,dbr:Charles_Edward_Magoon >> dbp:restingplace >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Gymnastics_at_the_2008_Summer_Olympics_–_Women's_artistic_individual_all-around | Question: Who was the silver medalist of Gymnastics at the 2008 Summer Olympics  Women's artistic individual all-around ?,dbr:Gymnastics_at_the_2008_Summer_Olympics_–_Women's_artistic_individual_all-around >> dbo:silverMedalist >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Female | Question: what are some common surnames of female people?,[ANS] >> dbp:gender >> dbr:Female
translate question to dbpedia path: Entities possibly involved: dbr:Creative_Commons | Question: List the total number of board members who share board with Creative commons ?,COUNT >> [VAR1] >> dbo:board >> [ANS] [SEP] [VAR1] >> dbo:board >> dbr:Creative_Commons
translate question to dbpedia path: Entities possibly involved: dbr:Chordate | Question: How many mammals are in the Chordate phylum?,COUNT >> [ANS] >> dbp:phylum >> dbr:Chordate [SEP] [ANS] >> rdf:type >> dbo:Mammal
translate question to dbpedia path: Entities possibly involved: dbr:Roh_Tae-woo | Question: List the battles fought by Roh Tae-woo ?,dbr:Roh_Tae-woo >> dbp:battles >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Random_House | Question: Which genre of books are published by Random House?,[VAR1] >> dbp:publisher >> dbr:Random_House [SEP] [VAR1] >> dbp:subject >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Book
"translate question to dbpedia path: Entities possibly involved: dbr:2009–10_Middlesbrough_F.C._season, dbr:2000–01_Aston_Villa_F.C._season | Question: Who is the common manager of Aston Villa 2000-02 season and aldo the manager of Middlesbrough F.C. season 2009-10",dbr:2000–01_Aston_Villa_F.C._season >> dbp:name >> [ANS] [SEP] dbr:2009–10_Middlesbrough_F.C._season >> dbo:manager >> [ANS]
"translate question to dbpedia path: Entities possibly involved: dbr:Ganymede_(moon), dbr:Galileo_Galilei | Question: Was Ganymede discovered by Galileo Galilei?",ASK >> dbr:Ganymede_(moon) >> dbp:discoverer >> dbr:Galileo_Galilei
"translate question to dbpedia path: Entities possibly involved: dbr:Toyota_Verossa, dbr:Front-engine_design | Question: Does the Toyota Verossa have the front engine design platform?",ASK >> dbr:Toyota_Verossa >> dbo:automobilePlatform >> dbr:Front-engine_design
translate question to dbpedia path: Entities possibly involved: dbr:Postbanken | Question: What are some other products of the banks which makes Postbanken?,[VAR1] >> dbo:product >> dbr:Postbanken [SEP] [VAR1] >> dbp:products >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Bank
translate question to dbpedia path: Entities possibly involved: dbr:MTR | Question: Who produces the trains operated by the MTR?,[VAR1] >> dbo:manufacturer >> [ANS] [SEP] [VAR1] >> dbo:operator >> dbr:MTR [SEP] [VAR1] >> rdf:type >> dbo:Train
translate question to dbpedia path: Entities possibly involved: dbr:Feminism | Question: In which countries can i find some feminist writers?,[VAR1] >> dbo:movement >> dbr:Feminism [SEP] [VAR1] >> dbo:nationality >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Writer
"translate question to dbpedia path: Entities possibly involved: dbr:Defenceman | Question: In which teams did anyone who played as a defencemen, play previously?",[VAR1] >> dbo:formerTeam >> [ANS] [SEP] [VAR1] >> dbp:position >> dbr:Defenceman
translate question to dbpedia path: Entities possibly involved: dbr:Jump_Square | Question: Who authored the works published in the Jump Square Magazine?,[VAR1] >> dbp:author >> [ANS] [SEP] [VAR1] >> dbp:magazine >> dbr:Jump_Square
translate question to dbpedia path: Entities possibly involved: dbr:BBC_HD | Question: How many things are aired on BBC HD?,COUNT >> [ANS] >> dbo:network >> dbr:BBC_HD
"translate question to dbpedia path: Entities possibly involved: dbr:Mark_Twain, dbr:Mark_Twain_Tonight | Question: Was Mark Twain a character of Mark Twain Tonight?",ASK >> dbr:Mark_Twain_Tonight >> dbp:characters >> dbr:Mark_Twain
"translate question to dbpedia path: Entities possibly involved: dbr:Bacteria, dbr:Bacillales | Question: List bacteria whose order (taxonomy) is Bacillales and domain is Bacteria?",[ANS] >> dbo:order >> dbr:Bacillales [SEP] [ANS] >> dbp:domain >> dbr:Bacteria [SEP] [ANS] >> rdf:type >> dbo:Bacteria
